firm_name;n_patents;ipc_main_code;ipc_main_desc;ipc_second_code;ipc_second_desc;addr_city_main;addr_dept_main
01 DB METRAVIB;3;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Limonest;69
10VINS;2;B01F;Mixing, e.g. Dissolving, emulsifying, dispersing;;;Nantes;44
14 VIN;2;B65B;"Machines, apparatus or devices for, or methods of, packaging articles or materials; unpacking";;;Sollies Pont;83
1ST SURGICONCEPT;1;A61L;"Methods or apparatus for sterilising materials or objects in general; disinfection, sterilisation, or deodorisation of air; chemical aspects of bandages, dressings, absorbent pads, or surgical articles; materials for bandages, dressings, absorbent pads, or surgical articles";;;Tourcoing;59
2 FLG;1;A43B;"Characteristic features of footwear; parts of footwear";A43D;Machines, tools, equipment or methods for manufacturing or repairing footwear;Saint Malo;35
2BGAS HYDROGEN;1;F23D;Burners;;;Valenciennes;59
2CSI;1;G06F;Electric digital data processing;G06Q;"Data processing systems or methods, specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes; systems or methods specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes, not otherwise provided for";Pontoise;95
2L SOLUTIONS;1;B25H;"Workshop equipment, e.g. For marking-out work; storage means for workshops";B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";Chauvigny;86
2MI MODELES ET MOULES POUR LINDUSTRIE;1;G01B;"Measuring length, thickness or similar linear dimensions; measuring angles; measuring areas; measuring irregularities of surfaces or contours";;;La Chabanne;33
3 D MINERALS;1;C04B;"Lime; magnesia; slag; cements; compositions thereof, e.g. Mortars, concrete or like building materials; artificial stone; ceramics";;;Limoges;87
3 S ORTHO;1;A61B;"Diagnosis; surgery; identification";;;Lyon;69
321 PERFORM;1;B60P;Vehicles adapted for load transportation or to transport, to carry, or to comprise special loads or objects;;;egat;66
3C;6;A61C;"Dentistry; apparatus or methods for oral or dental hygiene";;;Neuilly sur Seine;92
3D MEDICAL;2;A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";;;Marolles en Brie;94
3D PLUS;13;H01L;"Semiconductor devices; electric solid state devices not otherwise provided for";;;Buc;78
3D SLASH;2;G06T;Image data processing or generation, in general;;;Paris;75
3D SOUND LABS;2;G06T;Image data processing or generation, in general;;;Cesson Sevigne;35
3DCERAM;4;A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";Limoges;87
3DCERAMSINTO;6;C04B;"Lime; magnesia; slag; cements; compositions thereof, e.g. Mortars, concrete or like building materials; artificial stone; ceramics";;;Limoges;87
3DIS TECHNOLOGIES;4;H01L;"Semiconductor devices; electric solid state devices not otherwise provided for";;;Labege;31
3DKREAFORM;1;A61C;"Dentistry; apparatus or methods for oral or dental hygiene";;;Vaulx en Velin;69
3DOM;1;A61K;Preparations for medical, dental, or toilet purposes;;;Olby;63
3DOXIDES;1;C23C;"Coating metallic material; coating material with metallic material; surface treatment of metallic material by diffusion into the surface, by chemical conversion or substitution; coating by vacuum evaporation, by sputtering, by ion implantation or by chemical vapour deposition, in general";;;Saint Genis Pouilly;16
3DRUDDER;1;A63F;"Card, board, or roulette games; indoor games using small moving playing bodies; games not otherwise provided for";;;Marseille;13
3GP INNOVATION;1;F21V;"Functional features or details of lighting devices or systems thereof; structural combinations of lighting devices with other articles, not otherwise provided for";;;Chalons en Champagne;51
3M BRICOLAGE ET BATIMENT;1;E04F;Finishing work on buildings, e.g. Stairs, floors;;;Oyonnax;11
3S ORTHO;4;A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";;;Lyon;69
3X ENGINEERING;2;F16L;"Pipes; joints or fittings for pipes; supports for pipes, cables or protective tubing; means for thermal insulation in general";;;Albert;98
4 NRJ;1;B60M;Power supply lines, or devices along rails, for electrically-propelled vehicles;;;Blois;41
4030;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Seyssinet Pariset;38
4CECOMOBILE;1;B62D;"Motor vehicles; trailers";;;Conflans Sainte Honorine;78
4D VIEW SOLUTIONS;1;G01C;"Measuring distances, levels or bearings; surveying; navigation; gyroscopic instruments; photogrammetry or videogrammetry";H04N;Pictorial communication, e.g. Television;Grenoble;38
4DVIRTUALIZ;1;B25J;"Manipulators; chambers provided with manipulation devices";;;Clermont Ferrand;63
4G SECURE;1;G09C;Ciphering or deciphering apparatus for cryptographic or other purposes involving the need for secrecy;H04L;Transmission of digital information, e.g. Telegraphic communication;Paris;75
4MC;1;F15B;"Systems acting by means of fluids in general; fluid-pressure actuators, e.g. Servomotors; details of fluid-pressure systems, not otherwise provided for";F16K;"Valves; taps; cocks; actuating-floats; devices for venting or aerating";Sannois;95
4MOD TECHNOLOGY;1;H04R;"Loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers; deaf-aid sets; public address systems";;;Nantes;44
4NRJ;5;B60M;Power supply lines, or devices along rails, for electrically-propelled vehicles;G01B;"Measuring length, thickness or similar linear dimensions; measuring angles; measuring areas; measuring irregularities of surfaces or contours";Le Breuil;41
4PPHARMA;1;A61K;Preparations for medical, dental, or toilet purposes;;;Lille;59
6WIND;2;H04L;Transmission of digital information, e.g. Telegraphic communication;;;Montigny le Bretonneux;78
7B;1;A42B;"Hats; head coverings";A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";Annecy;74
7HUGS LABS;10;H04W;Wireless communication networks;;;Montrouge;92
A ET A MADER;9;C09D;"Coating compositions, e.g. Paints, varnishes or lacquers; filling pastes; chemical paint or ink removers; inks; correcting fluids; woodstains; pastes or solids for colouring or printing; use of materials therefor";;;Lille;59
A ET L RONDOT;1;B25J;"Manipulators; chambers provided with manipulation devices";C03B;"Manufacture or shaping of glass, or of mineral or slag wool; supplementary processes in the manufacture or shaping of glass, or of mineral or slag wool";Champagne au Mont d Or;69
A RAYMOND ET CIE;175;F16B;"Devices for fastening or securing constructional elements or machine parts together, e.g. Nails, bolts, circlips, clamps, clips or wedges; joints or jointing";;;Grenoble;38
A SURGICAL;7;G06T;Image data processing or generation, in general;;;Neuilly sur Seine;92
A THEOBALD;1;F24D;"Domestic- or space-heating systems, e.g. Central heating systems; domestic hot-water supply systems; elements or components therefor";;;Torcy;77
A VOLUTE;1;H03G;Control of amplification;;;Villeneuve d Ascq;59
A2C MATERIAUX;1;E04B;"General building constructions; walls, e.g. Partitions; roofs; floors; ceilings; insulation or other protection of buildings";;;Saint Sauveur les Bray;77
A2C POP UP CONCEPT;1;E01F;Additional work, such as equipping roads or the construction of platforms, helicopter landing stages, signs, snow fences, or the like;;;Montpellier;34
A3BC IP;1;G06F;Electric digital data processing;;;Paris;75
AAF FRANCE;2;B01D;Separation;;;Gasny;27
AATON DIGITAL;2;H04R;"Loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers; deaf-aid sets; public address systems";;;Verneuil sur Avre;27
AAXCES INGENIERIE;1;F16B;"Devices for fastening or securing constructional elements or machine parts together, e.g. Nails, bolts, circlips, clamps, clips or wedges; joints or jointing";;;La Talaudiere;42
AB MEDICA;3;A61B;"Diagnosis; surgery; identification";;;Mery sur Cher;18
AB SCIENCE;16;A61K;Preparations for medical, dental, or toilet purposes;;;Paris;75
AB7 INDUSTRIES;4;C12M;Apparatus for enzymology or microbiology;;;Deyme;31
AB7 INNOVATION;13;A61K;Preparations for medical, dental, or toilet purposes;;;Deyme;31
ABAD ISABELLE;1;A23B;"Preserving, e.g. By canning, meat, fish, eggs, fruit, vegetables, edible seeds; chemical ripening of fruit or vegetables; the preserved, ripened, or canned products";A23L;"Foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses ; a21d;  or a23b-a23j; their preparation or treatment, e.g. Cooking, modification of nutritive qualities, physical treatment";Bargemon;83
ABANDARAT DRISS;3;B60P;Vehicles adapted for load transportation or to transport, to carry, or to comprise special loads or objects;;;Colmar;68
ABATE PIETRO;1;B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";;;Saint etienne;42
ABB FRANCE;10;H01H;"Electric switches; relays; selectors; emergency protective devices";;;Les Ulis;91
ABC MEMBRANES;2;B01D;Separation;;;Donneville;31
ABC SMART CARD;1;G06F;Electric digital data processing;;;Marseille;13
ABCD INNOVATION;1;A61B;"Diagnosis; surgery; identification";;;Paris;75
ABDELLI MARICK;1;E03C;Domestic plumbing installations for fresh water or waste water;F24H;Fluid heaters, e.g. Water or air heaters, having heat-generating means, in general;Moyeuvre Grande;57
ABECASSIS MARC;1;A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";;;Paris;75
ABEEWAY;3;G01S;"Radio direction-finding; radio navigation; determining distance or velocity by use of radio waves; locating or presence-detecting by use of the reflection or reradiation of radio waves; analogous arrangements using other waves";;;Meylan;38
ABEILLES SANTE;1;B65D;"Containers for storage or transport of articles or materials, e.g. Bags, barrels, bottles, boxes, cans, cartons, crates, drums, jars, tanks, hoppers, forwarding containers; accessories, closures, or fittings therefor; packaging elements; packages";;;Cauterets;65
ABEL HELMUT;4;B62K;"Cycles; cycle frames; cycle steering devices; rider-operated terminal controls specially adapted for cycles; cycle axle suspensions; cycle sidecars, forecars, or the like";;;Maisons Laffitte;78
ABENSOUR SAMY;1;F16L;"Pipes; joints or fittings for pipes; supports for pipes, cables or protective tubing; means for thermal insulation in general";;;Antony;92
ABENZ 8140;2;H05H;Plasma technique;;;Geispolsheim;67
ABGRALLL CONCEPTION;1;E02F;"Dredging; soil-shifting";;;Daoulas;29
ABIONYX PHARMA;2;A61K;Preparations for medical, dental, or toilet purposes;;;Balma;31
ABIOTEC;1;A01M;Catching, trapping or scaring of animals;;;Le Plessis Robinson;92
ABISDID CHARLENE;2;A24D;"Cigars; cigarettes; tobacco smoke filters; mouthpieces for cigars or cigarettes; manufacture of tobacco smoke filters or mouthpieces";;;Marseille;13
ABISDID CHARLOTTE;3;A24D;"Cigars; cigarettes; tobacco smoke filters; mouthpieces for cigars or cigarettes; manufacture of tobacco smoke filters or mouthpieces";;;Marseille;13
ABISDID EPOUSE RAZON CHARLENE;1;A24D;"Cigars; cigarettes; tobacco smoke filters; mouthpieces for cigars or cigarettes; manufacture of tobacco smoke filters or mouthpieces";C06C;"Detonating or priming devices; fuses; chemical lighters; pyrophoric compositions";Marseille;13
ABISDID MARLENE;3;A24D;"Cigars; cigarettes; tobacco smoke filters; mouthpieces for cigars or cigarettes; manufacture of tobacco smoke filters or mouthpieces";;;Marseille;13
ABIVAX;30;A61K;Preparations for medical, dental, or toilet purposes;;;Paris;75
